name,population_2001,births_2002,deaths_2002,natchange_2002,internal_in_2002,internal_out_2002,internal_net_2002,international_in_2002,international_out_2002,international_net_2002,other_change_2002,population_2002,births_2003,deaths_2003,natchange_2003,internal_in_2003,internal_out_2003,internal_net_2003,international_in_2003,international_out_2003,international_net_2003,other_change_2003,population_2003,births_2004,deaths_2004,natchange_2004,internal_in_2004,internal_out_2004,internal_net_2004,international_in_2004,international_out_2004,international_net_2004,other_change_2004,population_2004,births_2005,deaths_2005,natchange_2005,internal_in_2005,internal_out_2005,internal_net_2005,international_in_2005,international_out_2005,international_net_2005,other_change_2005,population_2005,births_2006,deaths_2006,natchange_2006,internal_in_2006,internal_out_2006,internal_net_2006,international_in_2006,international_out_2006,international_net_2006,other_change_2006,population_2006,births_2007,deaths_2007,natchange_2007,internal_in_2007,internal_out_2007,internal_net_2007,international_in_2007,international_out_2007,international_net_2007,other_change_2007,population_2007,births_2008,deaths_2008,natchange_2008,internal_in_2008,internal_out_2008,internal_net_2008,international_in_2008,international_out_2008,international_net_2008,other_change_2008,population_2008,births_2009,deaths_2009,natchange_2009,internal_in_2009,internal_out_2009,internal_net_2009,international_in_2009,international_out_2009,international_net_2009,other_change_2009,population_2009,births_2010,deaths_2010,natchange_2010,internal_in_2010,internal_out_2010,internal_net_2010,international_in_2010,international_out_2010,international_net_2010,other_change_2010,population_2010,births_2011,deaths_2011,natchange_2011,internal_in_2011,internal_out_2011,internal_net_2011,international_in_2011,international_out_2011,international_net_2011,other_change_2011,population_2011,births_2012,deaths_2012,natchange_2012,internal_in_2012,internal_out_2012,internal_net_2012,international_in_2012,international_out_2012,international_net_2012,other_change_2012,population_2012,births_2013,deaths_2013,natchange_2013,internal_in_2013,internal_out_2013,internal_net_2013,international_in_2013,international_out_2013,international_net_2013,other_change_2013,population_2013,births_2014,deaths_2014,natchange_2014,internal_in_2014,internal_out_2014,internal_net_2014,international_in_2014,international_out_2014,international_net_2014,other_change_2014,population_2014
City of London,7359,54,41,13,765,702,63,286,50,236,-391,7280,61,50,11,824,801,23,332,120,212,-411,7115,63,48,15,910,786,124,308,51,257,-393,7118,63,46,17,858,780,78,385,73,312,-394,7131,65,30,35,866,776,90,480,96,384,-386,7254,60,46,14,954,758,196,730,160,570,-427,7607,54,41,13,724,762,-38,419,174,245,-398,7429,54,36,18,888,822,66,629,258,371,-412,7472,76,48,28,961,853,108,621,493,128,-398,7338,79,34,45,884,857,27,899,483,416,-414,7412,56,36,20,856,894,-38,698,488,210,0,7604,71,27,44,628,821,-193,624,431,193,0,7648,68,33,35,906,768,138,698,446,252,-1,8072
Barking and Dagenham,165654,2416,1655,761,8394,9600,-1206,2212,727,1485,-337,166357,2505,1674,831,9111,10832,-1721,2118,1040,1078,-335,166210,2639,1642,997,9121,12208,-3087,2298,524,1774,-284,165610,2909,1580,1329,9634,11854,-2220,2413,542,1871,-315,166275,3072,1475,1597,10055,12150,-2095,2402,734,1668,-288,167157,3324,1374,1950,10970,12475,-1505,2819,1125,1694,-265,169031,3489,1370,2119,11037,11982,-945,3360,892,2468,-221,172452,3675,1417,2258,11107,10737,370,3679,948,2731,-231,177580,3643,1296,2347,11228,11361,-133,3878,574,3304,-260,182838,3695,1208,2487,10840,11487,-647,3160,586,2574,-223,187029,3797,1285,2512,11975,12527,-552,2477,906,1571,0,190560,3866,1235,2631,12354,12612,-258,2272,869,1403,16,194352,3699,1190,2509,12928,14046,-1118,3426,883,2543,8,198294
Barnet,319481,4151,2769,1382,18565,22292,-3727,6968,2817,4151,-735,320552,4363,2675,1688,18873,22400,-3527,7231,3409,3822,-733,321802,4328,2658,1670,18922,21901,-2979,6973,3056,3917,-687,323723,4607,2620,1987,18770,21158,-2388,8329,3384,4945,-726,327541,4766,2470,2296,20076,21614,-1538,6862,3679,3183,-681,330801,4977,2443,2534,20173,22269,-2096,8564,4290,4274,-676,334837,5233,2395,2838,19847,22384,-2537,8045,3315,4730,-656,339212,5202,2423,2779,20711,20113,598,7931,4045,3886,-646,345829,5340,2396,2944,21068,21116,-48,7201,3809,3392,-679,351438,5543,2383,3160,19948,21296,-1348,8311,3329,4982,-694,357538,5650,2315,3335,20777,21611,-834,6766,2861,3905,12,363956,5286,2371,2915,20664,22396,-1732,6102,2190,3912,37,369088,5275,2337,2938,21984,23868,-1884,7720,2950,4770,3,374915
Bexley,218757,2556,2068,488,10267,11000,-733,965,367,598,13,219123,2571,2112,459,10806,10889,-83,965,489,476,41,220016,2632,2036,596,10993,11335,-342,842,263,579,68,220917,2757,1937,820,10685,10555,130,889,380,509,15,222391,2683,1911,772,10279,10755,-476,1017,453,564,29,223280,2843,1845,998,11307,11522,-215,1295,774,521,41,224625,3046,1886,1160,10876,10791,85,1300,525,775,7,226652,2933,1964,969,9700,10039,-339,1348,479,869,-5,228146,3010,1777,1233,10210,10002,208,1492,324,1168,-44,230711,3092,1842,1250,9994,9920,74,1214,280,934,-195,232774,3160,1893,1267,11094,11358,-264,961,462,499,-5,234271,2972,1934,1038,11435,10590,845,969,453,516,17,236687,3019,1824,1195,12228,10955,1273,1144,445,699,11,239865
Brent,269620,3967,1780,2187,15362,22926,-7564,7987,5122,2865,2763,269871,4326,1777,2549,14546,22879,-8333,7657,6211,1446,2790,268323,4355,1693,2662,14529,22516,-7987,7855,5401,2454,2883,268335,4417,1617,2800,15312,23013,-7701,9478,4838,4640,2865,270939,4589,1596,2993,15749,22262,-6513,10426,4239,6187,2898,276504,4803,1540,3263,15679,23208,-7529,12482,4321,8161,2874,283273,4892,1547,3345,15806,22593,-6787,12182,4004,8178,2892,290901,4998,1554,3444,16968,22162,-5194,10281,4138,6143,2824,298118,5050,1539,3511,17276,22505,-5229,10228,4523,5705,2680,304785,5362,1515,3847,16855,21200,-4345,8829,3110,5719,2239,312245,5312,1556,3756,17621,21812,-4191,8046,5172,2874,-24,314660,5170,1689,3481,17319,22241,-4922,8326,4305,4021,24,317264,5160,1466,3694,17393,24325,-6932,11257,4540,6717,19,320762
Bromley,296218,3372,2814,558,15133,15511,-378,1953,923,1030,-760,296668,3529,2924,605,15514,15791,-277,2208,1174,1034,-777,297253,3611,2894,717,14962,16198,-1236,2034,703,1331,-758,297307,3599,2713,886,16014,15108,906,2136,1019,1117,-795,299421,3710,2619,1091,15956,15485,471,1899,1134,765,-785,300963,3831,2686,1145,17271,16349,922,1993,1585,408,-813,302625,4045,2711,1334,15733,14682,1051,1798,1009,789,-831,304968,3958,2622,1336,14621,13845,776,1889,1149,740,-896,306924,4147,2556,1591,15267,15072,195,1723,949,774,-924,308560,4135,2509,1626,14851,14284,567,1599,732,867,-1066,310554,4139,2593,1546,16692,15225,1467,1445,965,480,-11,314036,3981,2547,1434,17034,14988,2046,1339,991,348,35,317899,4002,2516,1486,18140,16971,1169,1694,966,728,-4,321278
Camden,202567,2875,1449,1426,18107,19882,-1775,9290,5439,3851,-2097,203972,2889,1391,1498,18693,20817,-2124,9713,6725,2988,-2080,204254,2983,1416,1567,19441,20532,-1091,10823,6102,4721,-2110,207341,3031,1383,1648,19470,20373,-903,12283,7142,5141,-2139,211088,2949,1285,1664,19325,20698,-1373,9651,7876,1775,-2122,211032,3109,1237,1872,19958,22105,-2147,10991,8032,2959,-2196,211520,3073,1238,1835,18811,22507,-3696,8704,5984,2720,-2106,210273,3059,1114,1945,21392,22208,-816,10699,7005,3694,-2172,212924,3107,1139,1968,20803,22257,-1454,11422,7927,3495,-2208,214725,3058,1078,1980,20005,21907,-1902,13788,6346,7442,-2158,220087,3085,1094,1991,20400,22698,-2298,11948,6763,5185,-3,224962,2861,1144,1717,20254,21990,-1736,11010,6266,4744,32,229719,2679,1037,1642,20976,23766,-2790,12531,6243,6288,-13,234846
Croydon,335112,4365,2755,1610,16344,20051,-3707,4382,2695,1687,713,335415,4504,2745,1759,17467,21040,-3573,4027,2484,1543,775,335919,4708,2718,1990,17148,21140,-3992,4559,2144,2415,802,337134,4849,2597,2252,17395,21388,-3993,5351,2508,2843,816,339052,4685,2590,2095,18418,21317,-2899,3906,2653,1253,948,340449,5141,2427,2714,19661,21901,-2240,5534,3389,2145,961,344029,5457,2410,3047,18637,20349,-1712,5401,2526,2875,1069,349308,5221,2454,2767,17813,19957,-2144,4512,2840,1672,1160,352763,5330,2399,2931,18257,19293,-1036,4648,2646,2002,1291,357951,5701,2364,3337,18492,18351,141,4197,2204,1993,1393,364815,5790,2453,3337,19442,20196,-754,3547,2068,1479,9,368886,5747,2401,3346,19199,19823,-624,3292,2151,1141,3,372752,5648,2205,3443,19983,22345,-2362,4236,2047,2189,18,376040
Ealing,307276,4321,2219,2102,18682,24939,-6257,10465,5216,5249,872,309242,4491,2200,2291,18142,25998,-7856,9396,5880,3516,915,308108,4592,2090,2502,18253,26136,-7883,10738,4378,6360,986,310073,4810,2090,2720,18149,25332,-7183,10863,4660,6203,961,312774,4953,1953,3000,18641,25440,-6799,10089,4731,5358,996,315329,5162,1904,3258,20301,26508,-6207,10342,5076,5266,1025,318671,5563,1852,3711,21176,24600,-3424,9273,5251,4022,1042,324022,5548,1943,3605,21431,23308,-1877,9216,5978,3238,978,329966,5738,1905,3833,20861,24498,-3637,9411,6370,3041,870,334073,5883,1847,4036,20536,24519,-3983,9626,5099,4527,661,339314,5727,1900,3827,21035,25236,-4201,7243,5494,1749,-18,340671,5687,1873,3814,20260,24664,-4404,6941,4558,2383,30,342494,5462,1754,3708,20278,26669,-6391,8221,5930,2291,16,342118
Enfield,277266,3825,2439,1386,15935,17726,-1791,5640,1825,3815,69,280745,4024,2434,1590,15331,18186,-2855,4530,2262,2268,87,281835,4107,2385,1722,15195,18449,-3254,3625,1817,1808,106,282217,4380,2241,2139,15477,17950,-2473,4590,1763,2827,69,284779,4513,2235,2278,16997,18287,-1290,3480,1917,1563,99,287429,4712,2067,2645,16877,18293,-1416,5336,2559,2777,99,291534,4952,2025,2927,16902,17908,-1006,5919,2024,3895,93,297443,4936,2087,2849,16529,18267,-1738,5318,1964,3354,63,301971,4960,2014,2946,16979,18235,-1256,5272,1358,3914,73,307648,5002,1855,3147,16443,15926,517,3836,1169,2667,-44,313935,5017,1928,3089,15999,17619,-1620,3253,1367,1886,-3,317287,4966,1997,2969,16223,17899,-1676,3032,1099,1933,11,320524,4876,1928,2948,17155,19047,-1892,4291,1308,2983,11,324574
Greenwich,217460,3282,1909,1373,14700,15191,-491,3427,1979,1448,1686,221476,3389,1983,1406,14964,16386,-1422,3419,2241,1178,1665,224303,3516,1983,1533,14846,16968,-2122,3672,1890,1782,1694,227190,3937,1982,1955,15497,17550,-2053,3910,2267,1643,1759,230494,4079,1801,2278,15344,17753,-2409,4649,2855,1794,1833,233990,4361,1776,2585,15860,19266,-3406,4762,3262,1500,1866,236535,4439,1777,2662,14832,18809,-3977,5298,2676,2622,1906,239748,4437,1662,2775,14805,17608,-2803,4730,2619,2111,1841,243672,4549,1693,2856,15666,17644,-1978,5728,2848,2880,1741,249171,4581,1600,2981,15966,17265,-1299,5315,2533,2782,1848,255483,4598,1583,3015,17408,18840,-1432,4675,2108,2567,435,260068,4564,1538,3026,17640,18511,-871,3872,2054,1818,-33,264008,4405,1510,2895,18150,19412,-1262,4575,1782,2793,244,268678
Hackney,207246,4130,1214,2916,13779,17852,-4073,4865,1788,3077,1795,210961,4220,1295,2925,13726,19604,-5878,5112,2514,2598,1799,212405,4257,1255,3002,13067,19579,-6512,4915,2023,2892,1794,213581,4378,1183,3195,13742,18735,-4993,5243,2289,2954,1775,216512,4473,1241,3232,14140,18330,-4190,5099,2247,2852,1787,220193,4516,1156,3360,14921,18274,-3353,5028,2501,2527,1753,224480,4427,1090,3337,16426,18386,-1960,5770,2302,3468,1716,231041,4443,1109,3334,18037,18799,-762,4764,3403,1361,1648,236622,4588,1082,3506,18225,18710,-485,4255,3670,585,1511,241739,4495,1049,3446,17253,18251,-998,4545,2874,1671,1324,247182,4445,1055,3390,18873,18739,134,4517,3097,1420,-7,252119,4507,1055,3452,18866,19105,-239,4859,2838,2021,26,257379,4372,967,3405,19999,20225,-226,5285,2693,2592,0,263150
Hammersmith and Fulham,169374,2452,1026,1426,13999,16936,-2937,7259,4015,3244,882,171989,2592,1107,1485,14017,17600,-3583,7044,6176,868,751,171510,2603,1050,1553,14165,17534,-3369,6601,4879,1722,667,172083,2654,995,1659,14524,17273,-2749,6962,5222,1740,559,173292,2698,886,1812,15047,17529,-2482,6596,5274,1322,731,174675,2759,954,1805,16374,17767,-1393,6904,6310,594,791,176472,2730,979,1751,16086,18486,-2400,6328,5720,608,657,177088,2738,908,1830,17286,17205,81,7146,6799,347,770,180116,2830,868,1962,18016,18551,-535,5973,7200,-1227,526,180842,2778,924,1854,17139,18224,-1085,5315,5168,147,687,182445,2716,896,1820,16737,18599,-1862,5110,7615,-2505,-48,179850,2599,880,1719,15634,18577,-2943,5024,4983,41,18,178685,2494,813,1681,16336,19584,-3248,5917,4640,1277,-30,178365
Haringey,221251,3780,1422,2358,16093,21943,-5850,8970,3053,5917,798,224474,3847,1464,2383,16159,22551,-6392,7576,3856,3720,842,225027,3966,1434,2532,16170,22426,-6256,6952,2687,4265,904,226472,3964,1264,2700,16337,21925,-5588,7507,2700,4807,880,229271,3980,1234,2746,17491,22060,-4569,7412,2600,4812,914,233174,4275,1253,3022,17837,23134,-5297,7909,2894,5015,879,236793,4325,1228,3097,18211,21797,-3586,10200,2931,7269,886,244459,4234,1126,3108,18584,21990,-3406,9225,4425,4800,844,249805,4356,1171,3185,19293,23325,-4032,8365,5329,3036,748,252742,4339,1140,3199,18876,23134,-4258,6921,3554,3367,490,255540,4190,1161,3029,19381,23002,-3621,6797,2825,3972,-8,258912,4150,1068,3082,19699,23191,-3492,6777,1917,4860,24,263386,4091,1085,3006,20626,25038,-4412,8230,2671,5559,2,267541
Harrow,210044,2602,1622,980,13141,14401,-1260,3705,1529,2176,396,212336,2714,1667,1047,12885,14748,-1863,3439,1561,1878,330,213728,2814,1631,1183,13558,15095,-1537,3962,1348,2614,279,216267,2872,1694,1178,13931,14497,-566,5188,1327,3861,369,221109,2922,1532,1390,13648,15500,-1852,4147,1534,2613,372,223632,2962,1503,1459,14201,15802,-1601,4312,1816,2496,369,226355,3193,1461,1732,13679,14959,-1280,4031,1632,2399,361,229567,3264,1440,1824,13830,14728,-898,4513,1824,2689,313,233495,3344,1432,1912,13694,15015,-1321,4900,1812,3088,277,237451,3444,1396,2048,13274,14776,-1502,3805,1334,2471,31,240499,3530,1439,2091,13944,15846,-1902,3134,1440,1694,-5,242377,3620,1449,2171,13300,15652,-2352,2869,1716,1153,24,243373,3574,1392,2182,13704,16310,-2606,4526,1496,3030,32,246011
