cartodb_id,name,pct_net2002,pct_net2003,pct_net2004,pct_net2005,pct_net2006,pct_net2007,pct_net2008,pct_net2009,pct_net2010,pct_net2011,pct_net2012,pct_net2013,pct_net2014
1,Barking and Dagenham,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0.02,0.02,0.02
2,Barnet,0.04,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.06,0.05,0.04
3,Bexley,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,Brent,0.03,0.02,0.03,0.04,0.07,0.08,0.08,0.07,0.07,0.06,0.04,0.05,0.06
5,Bromley,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01
6,Camden,0.04,0.04,0.05,0.05,0.02,0.03,0.03,0.04,0.04,0.07,0.08,0.06,0.06
7,City of London,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Croydon,0.02,0.02,0.03,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02
9,Ealing,0.05,0.05,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02
10,Enfield,0.04,0.03,0.02,0.03,0.02,0.03,0.04,0.04,0.05,0.03,0.03,0.02,0.03
11,Greenwich,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.04,0.03,0.04,0.02,0.03
12,Hackney,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.03,0.02
13,Hammersmith and Fulham,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.00,-0.02,0.00,-0.04,0.00,0.01
14,Haringey,0.06,0.05,0.05,0.04,0.05,0.05,0.07,0.06,0.04,0.03,0.06,0.06,0.05
15,Harrow,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.04,0.02,0.02,0.01,0.03
16,Havering,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01
17,Hillingdon,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.04
18,Hounslow,0.03,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.03,0.04,0.04,0.03
19,Islington,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.06,0.05,0.04
20,Kensington and Chelsea,0.04,0.04,0.02,0.04,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,-0.02,0.00,0.01
21,Kingston upon Thames,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.02
22,Lambeth,0.03,0.03,0.05,0.05,0.05,0.06,0.04,0.03,0.02,0.03,0.04,0.04,0.02
23,Lewisham,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.04,0.03,0.03
24,Merton,0.02,0.02,0.02,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.00,0.00,0.01
25,Newham,0.08,0.06,0.03,0.03,0.08,0.11,0.11,0.13,0.18,0.12,0.10,0.09,0.09
26,Redbridge,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03
27,Richmond upon Thames,0.02,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Southwark,0.04,0.05,0.06,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04
29,Sutton,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00
30,Tower Hamlets,0.06,0.03,0.04,0.03,0.05,0.07,0.06,0.06,0.05,0.05,0.07,0.09,0.08
31,Waltham Forest,0.03,0.02,0.02,0.02,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05
32,Wandsworth,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.00,-0.01,0.01,-0.02,0.00,0.00
33,Westminster,0.06,0.08,0.10,0.10,0.03,0.02,0.02,0.01,0.02,0.06,0.08,0.09,0.08